Rank,NCT Number,Title,Acronym,Status,Conditions.1,Conditions.2,Conditions.3,Conditions.4,Conditions.5,Conditions.6,Conditions.7,Interventions,Sponsor/Collaborators,Gender,Age,Enrollment,Funded Bys,Study Type,Start Date,Primary Completion Date,Completion Date,First Posted,Last Update Posted,Locations.1,Country,Generalized Condition,Has Chronic Condition,Condition Count,Total Days Taken
11.0,NCT04355897,CoVID-19 Plasma in Treatment of COVID-19 Patients,,Recruiting,COVID-19,,,,,,,Biological: Convalescent COVID 19 Plasma,The Christ Hospital,All,"18 Years to 80 Years   (Adult, Older Adult)",100.0,Other,Interventional,2020-04-28,01/07/20,2020-01-08,21/04/20,20/05/20,"The Christ Hospital, Cincinnati, Ohio, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio",United States,Respiratory Diseases,1,1,-111.0
12.0,NCT04412265,Frailty in Elderly Patients With COVID-19,FRA-COVID,Recruiting,COVID-19,,,,,,,Other: Relation between frailty and clinical outcomes in elderly patients with COVID-19.,University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)",300.0,Other,Observational,2020-04-16,01/03/21,2021-01-03,02/06/20,22/01/21,"Dipartimento di Geriatria, Fondazione Poliambulanza, Brescia, Italy|Dipartimento di Medicina e Riabilitazione, Istituto Clinico Ospedale S. Anna, Brescia, Italy|UO Malattie Infettive, Spedali Civili, Brescia, Italy|UOC Medicina I a indirizzo Geriatrico, Spedali Civili, Montichiari, Italy|ASST Monza-Ospedale San Gerardo, Monza, Italy|SCDU Geriatria, AOU Città della Salute e della Scienza - Presidio Molinette, Torino",Italy,Respiratory Diseases,1,1,262.0
13.0,NCT04659759,"COVID-19 Pregnancy Related Immunological, Clinical and Epidemiological Factors and Perinatal Outcomes",COVID-PRICE,Recruiting,COVID-19,,,,,,,Other: COVID-19 exposure|Biological: COVID-19 vaccine,Thomas Jefferson University|Nemours,Female,"Child, Adult, Older Adult",300.0,Other,Observational,2020-11-17,31/12/21,2022-06-30,09/12/20,05/03/21,"Thomas Jefferson University Hospital, Philadelphia, Pennsylvania",United States,Respiratory Diseases,1,1,590.0
14.0,NCT04427332,Smell and Taste Disorders in COVID-19 Patients,COVID-19 ORL,Completed,COVID-19,,,,,,,Other: Investigation of smell and taste disorders,University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)",376.0,Other,Observational,2020-11-06,16/10/20,2020-10-16,11/06/20,27/01/21,"ASST Monza-Ospedale San Gerardo, Monza",Italy,Respiratory Diseases,1,1,-21.0
15.0,NCT04842708,Evaluation of Anti-COVID 19 Pfizer Vaccination Effect on COVID 19 Detection Using Breath Analysis,COVID-19,Recruiting,COVID-19,,,,,,,Diagnostic Test: vaccination against COVID19,Scentech Medical Technologies Ltd,All,"18 Years to 75 Years   (Adult, Older Adult)",50.0,Industry,Interventional,2020-12-24,24/10/21,2021-10-24,13/04/21,13/04/21,"Shamir Medical Center, Be'er Ya'aqov",Israel,Respiratory Diseases,1,1,304.0
16.0,NCT04367805,COVID-19 Infection in Patients With Hepatocellular Carcinoma,COVID19-CHIEF,Recruiting,Hepatocellular Carcinoma,COVID-19,,,,,,Diagnostic Test: nasopharyngeal Covid 19 RT-PCR,"Centre Hospitalier Universitaire, Amiens|Centre Hospitalier-Universitaire Bondy|University Hospital, Bordeaux|Centre Hospitalier-Universitaire CLICHY|Centre Hospitalier Général CORBEIL-ESSONNE|CHU CRETEIL|University Hospital, Grenoble|University Hospital, Lille|CHU LYON|Poitiers University Hospital|Rennes University Hospital|University Hospital, Rouen|University Hospital, Toulouse|CHU VILLEJUIF|Central Hospital, Nancy, France|Centre Hospitalier Universitaire de Nice|University Hospital, Montpellier",All,"18 Years and older   (Adult, Older Adult)",50.0,Other,Observational,2020-04-27,01/10/20,2020-01-10,29/04/20,29/04/20,"CHU Amiens, Amiens",France,Respiratory Diseases,1,2,-108.0
17.0,NCT04609969,Diagnostic Performance Evaluation of a Novel SARS-CoV-2 (COVID-19) Antigen Detection Test,COVID-VIRO,Completed,COVID-19,COVID-19,,,,,,Diagnostic Test: RT-qPCR test|Diagnostic Test: COVID-VIRO® test,Centre Hospitalier Régional d'Orléans,All,"18 Years and older   (Adult, Older Adult)",200.0,Other,Interventional,2020-10-13,17/10/20,2020-10-17,30/10/20,07/12/20,"Centre Hospitalier Régional d'Orléans, France, Orléans",France,Respiratory Diseases,1,2,4.0
18.0,NCT04817553,Impact of COVID-19 on the Clinical Outcomes and Management of IgG4 Related Disease Patients,IgG4-COVID,Recruiting,IgG4 Related Disease,COVID-19,,,,,,Other: exposure to COVID19,Chinese University of Hong Kong,All,"18 Years and older   (Adult, Older Adult)",150.0,Other,Observational,2021-03-24,01/07/21,2021-01-10,26/03/21,26/03/21,"Prince of Wales Hospital, The Chinese University of Hong Kong, Sha Tin, New Territories",Hong Kong,Respiratory Diseases,1,2,-73.0
19.0,NCT04632355,Musculoskeletal Pain in Patients With Covid-19 Who Have Hospital Care,Covid19-Pain,Not yet recruiting,COVID-19,,,,,,,Other: Interview,Fondazione Don Carlo Gnocchi Onlus,All,"18 Years and older   (Adult, Older Adult)",100.0,Other,Observational,2020-01-12,31/07/21,2021-07-31,17/11/20,19/11/20,"Jorge Hugo Villafañe, Milan",Italy,Respiratory Diseases,1,1,566.0
20.0,NCT04407585,Testing the Accuracy of a Digital Test to Diagnose Covid-19,,Recruiting,COVID-19,,,,,,,Diagnostic Test: Covid-19 swab PCR test,"King's College London|Zoe Global Limited|Department of Health, United Kingdom",All,"18 Years and older   (Adult, Older Adult)",1000000.0,Other,Observational,2020-01-06,10/05/21,2021-10-05,29/05/20,24/06/20,"King's College London, London",United Kingdom,Respiratory Diseases,1,1,638.0
21.0,NCT04657510,Femoral frACturEs and COVID-19.,FACE COVID-19,Recruiting,COVID-19,Femur Fracture,Fragility Fracture,,,,,Other: COVID-19,Istituto Ortopedico Galeazzi,All,"45 Years and older   (Adult, Older Adult)",140.0,Other,Observational,2020-11-14,01/12/20,2020-12-31,08/12/20,08/12/20,"IRCCS Istituto Ortopedico Galeazzi, Milano",Italy,Respiratory Diseases,1,3,47.0
22.0,NCT04473170,Study Evaluating the Safety and Efficacy of Autologous Non-Hematopoietic Peripheral Blood Stem Cells in COVID-19,SENTAD-COVID,Completed,COVID-19,,,,,,,Biological: Autologous Non-Hematopoietic Peripheral Blood Stem Cells (NHPBSC)|Drug: COVID-19 standard care,Abu Dhabi Stem Cells Center,All,"18 Years and older   (Adult, Older Adult)",146.0,Other,Interventional,2020-04-04,20/05/20,2020-07-14,16/07/20,16/07/20,"Abu Dhabi Stem Cells Center, Abu Dhabi",United Arab Emirates,Respiratory Diseases,1,1,101.0
23.0,NCT04497298,Clinical Trial to Evaluate the Safety and Immunogenicity of the COVID-19 Vaccine,COVID-19-101,"Active, not recruiting",COVID-19,,,,,,,Biological: Two COVID-19 vaccine candidate (TMV-083) administrations - Low dose|Biological: Two COVID-19 vaccine candidate (TMV-083) administrations - High dose|Biological: One COVID-19 vaccine candidate (TMV-083) administration - High dose|Other: Placebo,Institut Pasteur|Themis Bioscience GmbH|Coalition for Epidemic Preparedness Innovations,All,18 Years to 55 Years   (Adult),90.0,Industry|Other,Interventional,2020-10-08,01/06/21,2021-01-07,04/08/20,13/04/21,"SGS Life Sciences, Clinical Pharmacology Unit, Antwerp, Belgium|CIC Cochin - Pasteur, Paris",France,Respiratory Diseases,1,1,91.0
24.0,NCT04549831,Genetic Bases of COVID-19 Clinical Variability,GEN-COVID,Recruiting,COVID-19,,,,,,,Genetic: Massive parallel sequencing of host genome,"University of Siena|Policlinico San Matteo Pavia Fondazione IRCCS|Ospedale San Donato, Arezzo|Ospedale della Misericordia|Azienda Ospedaliera Ospedale Maggiore di Crema|University of Modena and Reggio Emilia|ASST Fatebenefratelli Sacco|Azienda Ospedaliera di Perugia|Ospedale dell'Angelo, Venezia-Mestre|Azienda Ulss 2 Marca Trevigiana|Cardarelli Hospital|Azienda Ospedaliera dei Colli|IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy|Istituto Giannina Gaslini|Istituti Ospitalieri di Cremona|IRCSS Lazzaro Spallanzani, Roma|ASST Santi Paolo e Carlo|ASST Valtellina e Alto Lario|Azienda USL Toscana Sud Est|ULSS1 Dolomiti, Belluno|ASST Spedali Civili, Brescia|IRCCS Casa Sollievo della Sofferenza, San Giovanni Rotondo|Fondazione Policlinico Universitario Agostino Gemelli IRCCS|Ospedale Luigi Curto, Polla|Istituto Auxologico Italiano|CEINGE Biotecnologie Avanzate, Napoli",All,"18 Years and older   (Adult, Older Adult)",2000.0,Other,Observational,2020-08-04,08/04/21,2026-08-04,16/09/20,17/09/20,"University of Siena, Siena",Italy,Respiratory Diseases,1,1,2191.0
25.0,NCT04706390,Comparison of the Immune Response to Natural COVID-19 Infection and Vaccination,COVID19vac-1,Recruiting,COVID-19,,,,,,,Biological: covid-19 vaccine,University of Bergen|Haukeland University Hospital,All,"20 Years to 100 Years   (Adult, Older Adult)",2500.0,Other,Observational,2021-12-01,12/01/22,2024-12-01,12/01/21,12/01/21,"University of Bergen, Bergen",Norway,Respiratory Diseases,1,1,1096.0
26.0,NCT04632719,The MentalPlus® for Assessment and Rehabilitation of Cognitive Function After Remission of the Symptoms of COVID-19,MP-COVID,Recruiting,Cognitive Impairment,COVID-19,Cognitive Dysfunction,"Depression, Anxiety",Quality of Life,,,Device: The use of the MentalPlus® digital game for assessment and rehabilitation of cognitive function after remission of the symptoms of COVID-19,University of Sao Paulo,All,"8 Years to 88 Years   (Child, Adult, Older Adult)",200.0,Other,Interventional,2020-08-11,29/12/20,2023-12-29,17/11/20,17/11/20,"Livia Stocco Sanches Valentin, São Paulo, SP, Brazil|Livia Stocco Sanches Valentin, Sao Paulo",Brazil,"Mental Health, Respiratory Diseases",1,5,1235.0
27.0,NCT04427345,Predictive Factors COVID-19 Patients,MI-COVID,Recruiting,COVID-19,,,,,,,Other: Predictive factors for clinical response in patients with COVID-19.,University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)",1000.0,Other,Observational,2020-04-30,30/04/21,2021-04-30,11/06/20,09/11/20,"ASST Monza-Ospedale San Gerardo, Monza",Italy,Respiratory Diseases,1,1,365.0
28.0,NCT04424004,MURDOCK Cabarrus County COVID-19 Prevalence and Immunity (C3PI) Study,C3PI,"Active, not recruiting",COVID-19,,,,,,,Other: COVID-19 PCR and serology testing,Duke University|North Carolina Department of Health and Human Services,All,"18 Years and older   (Adult, Older Adult)",500.0,Other,Observational,2020-09-06,30/06/21,2021-06-30,09/06/20,17/11/20,"Duke CTSI Translational Population Health Office, Kannapolis, North Carolina",United States,Respiratory Diseases,1,1,297.0
29.0,NCT04407494,Diagnostic Value of Patient - Reported and Clinically Verified Olfactory Disorders (COVID-19),COVID-OLFA,Completed,COVID-19,,,,,,,"Biological: Reporting of anosmia, ageusia and other clinical symptoms","University Hospital, Montpellier",All,"18 Years and older   (Adult, Older Adult)",809.0,Other,Observational,2020-01-03,01/04/20,2020-04-30,29/05/20,01/06/20,"Uhmontpellier, Montpellier",France,Respiratory Diseases,1,1,118.0
30.0,NCT04360811,"Assessment of Obstetric, Fetal and Neonatal Risks and Vertical SARS-CoV-2 Transmission During COVID-19 Pandemic",COroFet,Recruiting,Pregnancy,,,,,,,Diagnostic Test: COVID 19 diagnostic test by PCR,"University Hospital, Toulouse",Female,"18 Years and older   (Adult, Older Adult)",3600.0,Other,Interventional,2020-04-17,01/04/21,2022-01-04,24/04/20,24/04/20,"University Hospital of Toulouse, Toulouse",France,Others,0,1,627.0
31.0,NCT04403672,Performance Evaluation of RealDetect™ COVID-19 RT-PCR Kit for the Detection of SARS-CoV-2 Virus,,Recruiting,COVID-19,,,,,,,Device: performance evaluation study of RealDetect RT-PCR Kit for COVID-19 detection,Bangladesh Medical Research Council (BMRC),All,"5 Years to 65 Years   (Child, Adult, Older Adult)",120.0,Other,Observational,2020-05-18,24/07/20,2020-07-24,27/05/20,28/05/20,"Institute of Epidemiology, Disease Control and Research (IEDCR), Mohakhali, Dhaka (For sample collection & sample storage), Institute for Developing Science & Health Initiatives (ideSHi); Mohakhali, Dhaka (For sample analysis, data collection, data analys, Dhaka",Bangladesh,Respiratory Diseases,1,1,67.0
32.0,NCT04363099,Multicentre Observational Study on Management COVID 19 Positive Outpatients in a French Cluster.,COVID AMBU 60,Recruiting,COVID-19,,,,,,,Other: observational,Maison de Sante Pluridisciplinaire de Creil,All,"up to 99 Years   (Child, Adult, Older Adult)",1000.0,Other,Observational,2020-01-03,30/06/20,2020-12-31,27/04/20,27/04/20,"Msp de Creil, Creil",France,Respiratory Diseases,1,1,363.0
33.0,NCT04377425,COVID-19 Prevalence and Cognitive Deficits in Neurological Patients,Neuro-Covid,Withdrawn,Neurological Diseases or Conditions,"Stroke, Acute",Seizure Disorder,,,,,Diagnostic Test: COVID-19 swap test PCR,Aarhus University Hospital,All,"18 Years and older   (Adult, Older Adult)",0.0,Other,Observational,2020-07-05,29/11/20,2022-06-30,06/05/20,03/09/20,"Aalborg University Hospital, Aalborg, DK, Denmark|Aarhus University Hospital, Aarhus, DK, Denmark|Regional Hospital West Jutland, Hostebro, Holstebro, DK, Denmark|Regional Hospital Central Jutland, Viborg, Viborg, DK",Denmark,Cardiovascular Diseases,1,3,725.0
34.0,NCT04602871,Early Detection of COVID-19 Using Breath Analysis - Feasibility Study,COVID-19,Completed,COVID-19,,,,,,,Diagnostic Test: Breath Biopsy,Scentech Medical Technologies Ltd,All,"18 Years to 75 Years   (Adult, Older Adult)",108.0,Industry,Interventional,2020-03-07,30/01/21,2021-01-30,26/10/20,13/04/21,"Soroka Medical Center, Be'er Sheva, Israel|Meir Medical Center, Kfar Saba",Israel,Respiratory Diseases,1,1,329.0
35.0,NCT04691895,Gastrointestinal Symptoms in COVID-19,,"Active, not recruiting",COVID-19,,,,,,,Other: SARS-CoV2 infection,University of Bologna,All,"18 Years to 85 Years   (Adult, Older Adult)",2000.0,Other,Observational,2020-01-05,30/09/20,2021-12-31,31/12/20,05/01/21,"IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna",Italy,Respiratory Diseases,1,1,726.0
36.0,NCT04645498,COVID-19 and Hereditary Metabolic Diseases,COVID19-MHM,Not yet recruiting,COVID-19,"Metabolism, Inborn Errors",,,,,,,"University Hospital, Lille",All,"Child, Adult, Older Adult",77.0,Other,Observational,2021-01-01,01/01/23,2023-01-01,27/11/20,27/11/20,,,Respiratory Diseases,1,2,730.0
37.0,NCT04747821,An Effectiveness Study of the Sinovac's Adsorbed COVID-19 (Inactivated) Vaccine,Projeto S,"Active, not recruiting",COVID-19,,,,,,,Biological: Adsorbed COVID-19 (Inactivated) Vaccine,Butantan Institute,All,"18 Years and older   (Adult, Older Adult)",27711.0,Other,Interventional,2021-07-02,01/05/21,2022-01-02,10/02/21,08/04/21,"Hospital Estadual de Serrana, Serrana, SP",Brazil,Respiratory Diseases,1,1,184.0
38.0,NCT04372004,Comparison of the Efficacy of Rapid Tests to Identify COVID-19 Infection (CATCh COVID-19),CATCH COVID-19,Recruiting,COVID-19,,,,,,,Diagnostic Test: diagnostic tests for COVID-19 infection,Texas Cardiac Arrhythmia Research Foundation,All,"18 Years to 85 Years   (Adult, Older Adult)",100.0,Other,Interventional,2020-08-05,01/05/21,2021-01-06,01/05/20,11/08/20,"Texas Cardiac Arrhythmia Institute, Austin, Texas",United States,Respiratory Diseases,1,1,154.0
39.0,NCT04377685,Prediction of Clinical Course in COVID19 Patients,COVID-CTPRED,Recruiting,COVID-19,,,,,,,Other: CT-Scan,"Centre Hospitalier Universitaire de Saint Etienne|Institut National des Sciences Appliquées (INSA)|Institut National de la Santé Et de la Recherche Médicale, France|Centre National pour le Recherche Scientifique (CNRS)|Université de Lyon|Université Jean Monnet",All,"18 Years and older   (Adult, Older Adult)",800.0,Other,Observational,2020-01-03,30/06/21,2021-06-30,06/05/20,19/01/21,"Chu Saint-Etienne, Saint-Étienne",France,Respiratory Diseases,1,1,544.0
40.0,NCT04717011,Case Series Study to Detect SARS-CoV-2 in Semen of COVID-19 Patients,COVID-19CAST,Recruiting,COVID-19,,,,,,,Diagnostic Test: PCR test,Igenomix,Male,"18 Years to 65 Years   (Adult, Older Adult)",100.0,Industry,Observational,2021-01-02,01/07/21,2021-01-07,20/01/21,10/02/21,"Hospital Ruber Internacional, Madrid",Spain,Respiratory Diseases,1,1,5.0
41.0,NCT04412486,COVID-19 Convalescent Plasma (CCP) Transfusion,,Recruiting,COVID-19,,,,,,,Biological: COVID Convalescent Plasma,"Gailen D. Marshall Jr., MD PhD|University of Mississippi Medical Center",All,"18 Years and older   (Adult, Older Adult)",100.0,Other,Interventional,2020-01-06,31/05/22,2022-05-31,02/06/20,02/07/20,"University of Mississippi Medical Center, Jackson, Mississippi",United States,Respiratory Diseases,1,1,876.0
42.0,NCT04581135,Study to Investigate Long-term Pulmonary and Extrapulmonary Effects of COVID-19,,Recruiting,COVID-19,,,,,,,Other: COVID-19,"University Hospital Inselspital, Berne",All,"18 Years and older   (Adult, Older Adult)",500.0,Other,Observational,2020-01-05,30/04/23,2023-01-06,09/10/20,09/10/20,"St. Claraspital AG - Department of Pulmonary Medicine, Basel, Switzerland|Universtiy Hospital Bern (Inselspital), Department of Pulmonary Medicine - Lead Center, Bern, Switzerland|University and Hospital of Fribourg, Fribourg, Switzerland|Hôpitaux Universitaires de Genève - Service de Pneumologie, Genève, Switzerland|CHUV - Service de Pneumologie, Lausanne, Switzerland|Clinica Moncucco, Lugano, Switzerland|Hôpital du Valais - Service de Pneumologie, Sion, Switzerland|Kantonspital St. Gallen - Klinik für Pneumologie und Schlafmedizin Lungenzentrum, St. Gallen, Switzerland|Universitätsspital Zürich - Klinik für Pneumologie, Zürich",Switzerland,Respiratory Diseases,1,1,1097.0
43.0,NCT04387968,"Epidemiological Study of the Covid-19 Presto Test - The ""COVIDOR"" Study",COVIDOR,Recruiting,Coronavirus Infection,,,,,,,Diagnostic Test: Covid-19 presto test,"Raphael Serreau|François Rabelais University|Assistance Publique - Hôpitaux de Paris|University Hospital, Paris|Orléans Métropole Service de Médecine Préventive",All,"18 Years to 65 Years   (Adult, Older Adult)",5000.0,Other,Observational,2020-08-24,24/03/21,2021-03-24,14/05/20,09/12/20,"Unité de Recherche PARADICT-O - Service de Médecine - Orléans Métropole, Orléans, France|Unité de Recherche PARADICT-O - Service de Médecine - Orléans Métropole, Orléans",France,Respiratory Diseases,1,1,212.0
44.0,NCT04845048,Active Pharmacovigilance Study of Adsorbed COVID-19 (Inactivated) Vaccine,,Not yet recruiting,COVID-19,,,,,,,Biological: Adsorbed COVID-19 (Inactivated) Vaccine,Butantan Institute,All,"18 Years and older   (Adult, Older Adult)",900.0,Other,Observational,2021-01-04,01/09/21,2021-01-11,14/04/21,14/04/21,"Centro de Saúde Escola da Faculdade de Medicina de Botucatu - Unesp., Botucatu, São Paulo, Brazil|Centro de Saúde Escola da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo (HCFMRP-USP) Dr. Joel Domingos Machado., Ribeirão Preto, São Paulo, Brazil|Centro de Referência de Imunobiológicos Especiais. Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (CRIEHCFMUSP), São Paulo",Brazil,Respiratory Diseases,1,1,7.0
45.0,NCT04490837,Rapid Diagnostic Test for COVID-19 Based on Antibody Detection (YCOVID),YCOVID,"Active, not recruiting",COVID-19,,,,,,,Diagnostic Test: ELISA and Rapid test to detect antibodies against COVID-19,Corporacion Parc Tauli,All,"18 Years and older   (Adult, Older Adult)",3500.0,Other,Observational,2020-06-22,31/07/20,2020-09-30,29/07/20,29/07/20,"Parc Tauli University Hospital, Sabadell, Barcelona",Spain,Respiratory Diseases,1,1,100.0
46.0,NCT04834908,Evaluation of Equine Antibody Treatment in Patients With COVID 19 Infection,PROTECT,Not yet recruiting,COVID-19,,,,,,,Biological: Equine COVID-19 Antiserum|Drug: Standard of care,Bharat Serums and Vaccines Limited,All,"18 Years to 65 Years   (Adult, Older Adult)",160.0,Industry,Interventional,2021-01-05,01/03/22,2022-01-09,08/04/21,08/04/21,,,Respiratory Diseases,1,1,369.0
47.0,NCT04730401,Convalescent Plasma in the Treatment of Covid-19,CP_COVID-19,Recruiting,COVID-19,,,,,,,Biological: Convalescent plasma from COVID-19 donors|Biological: Placebo,Helsinki University Central Hospital|Finnish Red Cross,All,"18 Years and older   (Adult, Older Adult)",390.0,Other,Interventional,2021-01-27,31/08/21,2021-12-31,29/01/21,08/03/21,"Helsinki University Central Hospital, Helsinki, Uusimaa",Finland,Respiratory Diseases,1,1,338.0
48.0,NCT04799444,LATE-COVID/LATE-COVID-Kids - Observational Study in Children and Adults,LATE-COVID,Recruiting,COVID-19,,,,,,,,Polish Mother Memorial Hospital Research Institute,All,"Child, Adult, Older Adult",500.0,Other,Observational,2020-01-10,30/06/22,2022-06-30,16/03/21,16/03/21,"Polish Mother Memorial Research Institute (PMMHRI) in Lodz, Poland, Lodz",Poland,Respiratory Diseases,1,1,902.0
49.0,NCT04425707,Ivermectin In Treatment of COVID 19 Patients,,Recruiting,COVID-19,,,,,,,Drug: Ivermectin,"Ministry of Health and Population, Egypt",All,"18 Years and older   (Adult, Older Adult)",100.0,Other,Interventional,2020-09-06,01/07/20,2020-01-09,11/06/20,11/06/20,"isolation and referal hospitals for COVID 19 patients, Cairo",Egypt,Respiratory Diseases,1,1,-241.0
